"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","816","Авторизация с незаполненным полем логин И пароль","tests","Thu Jun 19 04:07:42 GMT 2025","passed","Thu Jun 19 04:07:43 GMT 2025","","test_login","",""
"","1240","Авторизация с недействительными учетными данными","tests","Thu Jun 19 04:07:40 GMT 2025","passed","Thu Jun 19 04:07:41 GMT 2025","","test_login","",""
"","762","Авторизация с незаполненными полями логин ИЛИ пароль","tests","Thu Jun 19 04:07:41 GMT 2025","failed","Thu Jun 19 04:07:42 GMT 2025","","test_login","",""
"","1440","Авторизация с недействительными учетными данными","tests","Thu Jun 19 04:07:43 GMT 2025","passed","Thu Jun 19 04:07:44 GMT 2025","","test_login","",""
"","1472","Авторизация с недействительными учетными данными","tests","Thu Jun 19 04:07:45 GMT 2025","passed","Thu Jun 19 04:07:46 GMT 2025","","test_login","",""
"","771","Авторизация с незаполненными полями логин ИЛИ пароль","tests","Thu Jun 19 04:07:44 GMT 2025","failed","Thu Jun 19 04:07:45 GMT 2025","","test_login","",""
