"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","Авторизация","1","0","Авторизация с незаполненными полями логин/пароль","0"
"0","","0","Авторизация","3","0","Авторизация с невалидными учетными данными","0"
